,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
0,Growers Retail,flint-embers-gsc-kush-3-5g,Flint & Embers - GSC Kush 3.5g,Flint & Embers,33.49,False,,,,Flower,
1,Growers Retail,growers-retail-black-hoodie-large,Growers Retail - Black Hoodie Large,Growers Retail,29.95,False,,,,Apparel,
2,Growers Retail,growers-retail-ladies-white-tank-top-small,Growers Retail - Ladies White Tank Top Small,Growers Retail,14.95,False,,,,Apparel,
3,Growers Retail,growers-retail-pip-black-ceramic-pocket-pipe,Growers Retail PiP - Black Ceramic Pocket Pipe,PiP,11.95,False,,,,Accessories,
4,Growers Retail,38mm-silicone-containers,38mm Silicone Containers,ReCreation Marketing,2.99,False,,,,Accessories,
5,Growers Retail,4-glass-spoon-black,"4"" Glass Spoon Black",ReCreation Marketing,9.99,False,,,,Accessories,
6,Growers Retail,420-science-hello-write-erase-pop-top-jar-large,420 Science - Hello Write & Erase Pop Top Jar - Large,420 Science,16.99,False,,,,Accessories,
7,Growers Retail,420-science-hello-write-erase-pop-top-jar-medium,420 Science - Hello Write & Erase Pop Top Jar - Medium,420 Science,14.99,False,,,,Accessories,
8,Growers Retail,420-science-hello-write-erase-pop-top-jar-small,420 Science - Hello Write & Erase Pop Top Jar - Small,420 Science,12.99,False,,,,Accessories,
9,Growers Retail,5-pack-stainless-steel-screens,5 Pack Stainless Steel Screens,Humble and Fume,0.99,False,,,,Accessories,
10,Growers Retail,5-points-planet-of-the-grapes-3-5g,5 Points - Planet of the Grapes 3.5g,5 POINTS,23.95,False,,,,Flower,
11,Growers Retail,5-points-zxfpog-3-5g,5 Points - ZXFPOG 3.5g,OCS,23.95,False,,,,Flower,
12,Growers Retail,5-points-zsweet-3-5g,5 Points - Zsweet 3.5g,5 POINTS,23.95,False,,,,Flower,
13,Growers Retail,7acres-jack-haze-pre-roll-2x0-5g,7ACRES -  Jack Haze Pre-Roll 2x0.5g,7ACRES,8.49,False,6.37,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Pre-Rolls,
14,Growers Retail,7acres-jack-haze-bubble-hash-infused-pre-rolls-1g,7ACRES - Jack Haze Bubble Hash-Infused Pre-Rolls 1g,7ACRES,17.99,False,13.49,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
15,Growers Retail,7acres-jean-guy-pre-roll-2x0-5g,7ACRES - Jean Guy Pre-Roll 2x0.5g,7ACRES,8.49,False,6.37,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Pre-Rolls,
16,Growers Retail,7acres-lemon-zktlz-3-5g,7ACRES - Lemon Zktlz 3.5g,7ACRES,31.49,False,23.62,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Flower,
17,Growers Retail,7acres-papaya-3-5g,7ACRES - Papaya 3.5g,7ACRES,27.49,False,20.62,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Flower,
18,Growers Retail,7acres-papaya-pre-roll-2x0-5g,7ACRES - Papaya Pre-Roll 2x0.5g,7ACRES,8.49,False,6.37,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Pre-Rolls,
19,Growers Retail,7acres-papaya-whole-flower-pre-rolls-cannabis-joints-infused-with-bubble-hash-1x1g,7ACRES - Papaya Whole Flower Pre-Rolls Cannabis Joints Infused with Bubble Hash 1x1g,7ACRES,18.99,False,14.24,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
20,Growers Retail,7acres-platinum-kush-breath-3-5g,7ACRES - Platinum Kush Breath 3.5g,7ACRES,31.49,False,23.62,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Flower,
21,Growers Retail,7acres-sensi-star-3-5g,7ACRES - Sensi Star 3.5g,7ACRES,27.49,False,20.62,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Flower,
22,Growers Retail,7acres-sensi-star-pre-roll-2x0-5g,7ACRES - Sensi Star Pre-Roll 2x0.5g,7ACRES,8.49,False,6.37,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 25, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '6319128a49997b00b2c576c6', 'specialName': 'DOJA & 7ACRES SALE!!!', 'specialRestrictions': {'6d68c93b-c413-476c-a169-79e08e5f0523': {'discountType': 'percentDiscount'}, '3c5c6b66-43c9-429b-ae8c-5ab69006e6a5': {'discountType': 'percentDiscount'}, '62f480e8-b6d1-4429-b0f3-9eed87ded031': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Pre-Rolls,
