,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
0,toke,0-10-cbd-gems-15-pack,0:10 CBD Gems | 15-pack,Redecan,13.27,False,,,,Edible,
1,toke,14mm-eclipse-bowl,14mm Eclipse Bowl,Smoke Arsenal Inc.,13.27,False,,,,Accessories,
2,toke,2-5-scaler-glass-hand-pipe,"2.5"" Scaler Glass Hand Pipe",Smoke Arsenal Inc.,8.85,False,,,,Accessories,
3,toke,4-cartel-rainbow-drill-spoon-pipe,"4"" Cartel Rainbow Drill Spoon Pipe",Smoke Arsenal Inc.,17.7,False,,,,Accessories,
4,toke,4-glass-flat-handpipe,"4"" Glass Flat Handpipe",Smoke Arsenal Inc.,10.61,False,,,,Accessories,
5,toke,420-milk-chocolate,420 Milk Chocolate,Wabi Sabi,8.84,False,,,,Edible,
6,toke,510-purple-cheesecake-cartridge-1g,510 Purple Cheesecake Cartridge | 1g,CALI,37.17,False,,,,Vaporizers,
7,toke,5-5-gems-15-pack,5:5 Gems | 15-pack,Redecan,15.93,False,,,,Edible,
8,toke,6-cute-unicorn-silicone-water-pipe,"6"" Cute Unicorn Silicone Water Pipe",Smoke Arsenal Inc.,20.35,False,,,,Accessories,
9,toke,6-ice-cream-cone-silicone-bong,"6"" Ice Cream Cone Silicone Bong",Smoke Arsenal Inc.,30.97,False,,,,Accessories,
10,toke,afghan-black-hash-2g,Afghan Black Hash | 2g,VORTEX,26.55,False,,,,Concentrate,
11,toke,alien-og-cartridge-1-2g,Alien OG Cartridge | 1.2g,BoxHot,48.68,False,,,,Vaporizers,
12,toke,alien-og-disty-dabber-1-2g,Alien OG Disty Dabber | 1.2g,BoxHot,39.83,False,,,,Concentrate,
13,toke,all-purpose-flower-indica,All Purpose Flower Indica,Bake Sale,53.1,False,,,,Flower,
14,toke,all-natural-lip-balm,All-Natural Lip Balm,Tidal,7.96,False,,,,Topicals,
15,toke,amsterdam-sativa,Amsterdam Sativa,Highly Dutch Organic,132.74,False,,,,Flower,
16,toke,animal-mints-pre-roll-10-pack-3-5g,Animal Mints Pre-Roll 10-pack | 3.5g,Back Forty,17.7,False,,,,Pre-Rolls,
17,toke,arsenal-14mm-glass-downstems,Arsenal 14mm Glass Downstems,Smoke Arsenal Inc.,8.84,False,,,,Accessories,
18,toke,arsenal-assorted-4-5-metal-dabber,"Arsenal Assorted 4.5"" Metal Dabber",Smoke Arsenal Inc.,6.19,False,,,,Accessories,
19,toke,arsenal-leaf-52mm-3-piece-grinder,Arsenal Leaf 52mm 3-Piece Grinder,Smoke Arsenal Inc.,13.27,False,,,,Accessories,
20,toke,atomic-sour-grapefruit-pre-roll-3-pack-1-5g,Atomic Sour Grapefruit Pre-Roll 3-pack | 1.5g,Spinach,15.04,False,,,,Pre-Rolls,
21,toke,avalanche-pre-roll-6-pack-3g,Avalanche Pre-Roll 6-pack | 3g,Tenzo,30.08,False,,,,Pre-Rolls,
22,toke,b-banner,B Banner,Argentia Gold,19.47,False,,,,Flower,
